[0.000000] (-) TimerEvent: {}
[0.001106] (-) JobUnselected: {'identifier': 'ur'}
[0.001302] (-) JobUnselected: {'identifier': 'ur5_kdl_ik'}
[0.001350] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.001450] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.003225] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.003283] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.003389] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.912818] (ur5_motion_planning) Command: {'cmd': ['/usr/bin/cmake', '/workspace/ur5_ws/src/ur5_motion_planning', '-DAMENT_CMAKE_SYMLINK_INSTALL=1', '-DCMAKE_INSTALL_PREFIX=/workspace/ur5_ws/install/ur5_motion_planning'], 'cwd': '/workspace/ur5_ws/build/ur5_motion_planning', 'env': OrderedDict([('HOSTNAME', 'a0498151e0e9'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/humble/lib/aarch64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/root'), ('OLDPWD', '/workspace'), ('ROS_PYTHON_VERSION', '3'), ('ROS_DISTRO', 'humble'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin'), ('LANG', 'C.UTF-8'), ('AMENT_PREFIX_PATH', '/workspace/ur5_ws/install/ur5_minimal_moveit:/workspace/ur5_ws/install/ur_moveit_config:/workspace/ur5_ws/install/ur_description:/opt/ros/humble'), ('PWD', '/workspace/ur5_ws/build/ur5_motion_planning'), ('LC_ALL', 'C.UTF-8'), ('PYTHONPATH', '/workspace/ur5_ws/build/ur5_minimal_moveit:/workspace/ur5_ws/install/ur5_minimal_moveit/lib/python3.10/site-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/workspace/ur5_ws/install/ur_moveit_config:/workspace/ur5_ws/install/ur_description:/opt/ros/humble')]), 'shell': False}
[0.927569] (ur5_motion_planning) StdoutLine: {'line': b'-- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)\n'}
[1.012247] (-) TimerEvent: {}
[1.017591] (ur5_motion_planning) StdoutLine: {'line': b'-- Override CMake install command with custom implementation using symlinks instead of copying resources\n'}
[1.028317] (ur5_motion_planning) StdoutLine: {'line': b'-- Found rclcpp: 16.0.17 (/opt/ros/humble/share/rclcpp/cmake)\n'}
[1.044694] (ur5_motion_planning) StdoutLine: {'line': b'-- Found rosidl_generator_c: 3.1.8 (/opt/ros/humble/share/rosidl_generator_c/cmake)\n'}
[1.048341] (ur5_motion_planning) StdoutLine: {'line': b'-- Found rosidl_adapter: 3.1.8 (/opt/ros/humble/share/rosidl_adapter/cmake)\n'}
[1.050332] (ur5_motion_planning) StdoutLine: {'line': b'-- Found rosidl_generator_cpp: 3.1.8 (/opt/ros/humble/share/rosidl_generator_cpp/cmake)\n'}
[1.057266] (ur5_motion_planning) StdoutLine: {'line': b'-- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c\n'}
[1.065490] (ur5_motion_planning) StdoutLine: {'line': b'-- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp\n'}
[1.086831] (ur5_motion_planning) StdoutLine: {'line': b'-- Found rmw_implementation_cmake: 6.1.2 (/opt/ros/humble/share/rmw_implementation_cmake/cmake)\n'}
[1.088145] (ur5_motion_planning) StdoutLine: {'line': b'-- Found rmw_fastrtps_cpp: 6.2.9 (/opt/ros/humble/share/rmw_fastrtps_cpp/cmake)\n'}
[1.113237] (-) TimerEvent: {}
[1.163688] (ur5_motion_planning) StdoutLine: {'line': b"-- Using RMW implementation 'rmw_fastrtps_cpp' as default\n"}
[1.198494] (ur5_motion_planning) StdoutLine: {'line': b'-- Found rclcpp_action: 16.0.17 (/opt/ros/humble/share/rclcpp_action/cmake)\n'}
[1.214269] (-) TimerEvent: {}
[1.219562] (ur5_motion_planning) StdoutLine: {'line': b'-- Found control_msgs: 4.8.0 (/opt/ros/humble/share/control_msgs/cmake)\n'}
[1.273836] (ur5_motion_planning) StdoutLine: {'line': b'-- Found tf2_geometry_msgs: 0.25.18 (/opt/ros/humble/share/tf2_geometry_msgs/cmake)\n'}
[1.276116] (ur5_motion_planning) StdoutLine: {'line': b'-- Found eigen3_cmake_module: 0.1.1 (/opt/ros/humble/share/eigen3_cmake_module/cmake)\n'}
[1.277076] (ur5_motion_planning) StdoutLine: {'line': b'-- Ensuring Eigen3 include directory is part of orocos-kdl CMake target\n'}
[1.314989] (ur5_motion_planning) StdoutLine: {'line': b'-- Found moveit_core: 2.5.9 (/opt/ros/humble/share/moveit_core/cmake)\n'}
[1.315375] (-) TimerEvent: {}
[1.325989] (ur5_motion_planning) StdoutLine: {'line': b'-- Found Boost: /usr/lib/aarch64-linux-gnu/cmake/Boost-1.74.0/BoostConfig.cmake (found version "1.74.0") found components: chrono date_time filesystem iostreams program_options regex serialization system thread \n'}
[1.344109] (ur5_motion_planning) StdoutLine: {'line': b'-- Found parameter_traits: 0.6.0 (/opt/ros/humble/share/parameter_traits/cmake)\n'}
[1.350356] (ur5_motion_planning) StdoutLine: {'line': b'-- Found rclcpp_lifecycle: 16.0.17 (/opt/ros/humble/share/rclcpp_lifecycle/cmake)\n'}
[1.362457] (ur5_motion_planning) StdoutLine: {'line': b'-- Found Boost: /usr/lib/aarch64-linux-gnu/cmake/Boost-1.74.0/BoostConfig.cmake (found version "1.74.0") found components: filesystem \n'}
[1.384592] (ur5_motion_planning) StdoutLine: {'line': b'-- library: /usr/lib/aarch64-linux-gnu/libcurl.so\n'}
[1.416252] (-) TimerEvent: {}
[1.501473] (ur5_motion_planning) StderrLine: {'line': b'CMake Error at CMakeLists.txt:18 (find_package):\n'}
[1.502246] (ur5_motion_planning) StderrLine: {'line': b'  By not providing "Findmoveit_ros_planning_interface.cmake" in\n'}
[1.502721] (ur5_motion_planning) StderrLine: {'line': b'  CMAKE_MODULE_PATH this project has asked CMake to find a package\n'}
[1.503148] (ur5_motion_planning) StderrLine: {'line': b'  configuration file provided by "moveit_ros_planning_interface", but CMake\n'}
[1.503625] (ur5_motion_planning) StderrLine: {'line': b'  did not find one.\n'}
[1.504433] (ur5_motion_planning) StderrLine: {'line': b'\n'}
[1.505021] (ur5_motion_planning) StderrLine: {'line': b'  Could not find a package configuration file provided by\n'}
[1.509277] (ur5_motion_planning) StderrLine: {'line': b'  "moveit_ros_planning_interface" with any of the following names:\n'}
[1.509563] (ur5_motion_planning) StderrLine: {'line': b'\n'}
[1.509738] (ur5_motion_planning) StderrLine: {'line': b'    moveit_ros_planning_interfaceConfig.cmake\n'}
[1.509905] (ur5_motion_planning) StderrLine: {'line': b'    moveit_ros_planning_interface-config.cmake\n'}
[1.510066] (ur5_motion_planning) StderrLine: {'line': b'\n'}
[1.510245] (ur5_motion_planning) StderrLine: {'line': b'  Add the installation prefix of "moveit_ros_planning_interface" to\n'}
[1.510402] (ur5_motion_planning) StderrLine: {'line': b'  CMAKE_PREFIX_PATH or set "moveit_ros_planning_interface_DIR" to a directory\n'}
[1.510558] (ur5_motion_planning) StderrLine: {'line': b'  containing one of the above files.  If "moveit_ros_planning_interface"\n'}
[1.510716] (ur5_motion_planning) StderrLine: {'line': b'  provides a separate development package or SDK, be sure it has been\n'}
[1.510874] (ur5_motion_planning) StderrLine: {'line': b'  installed.\n'}
[1.511091] (ur5_motion_planning) StderrLine: {'line': b'\n'}
[1.511319] (ur5_motion_planning) StderrLine: {'line': b'\n'}
[1.511484] (ur5_motion_planning) StdoutLine: {'line': b'-- Configuring incomplete, errors occurred!\n'}
[1.511640] (ur5_motion_planning) StdoutLine: {'line': b'See also "/workspace/ur5_ws/build/ur5_motion_planning/CMakeFiles/CMakeOutput.log".\n'}
[1.513019] (ur5_motion_planning) CommandEnded: {'returncode': 1}
[1.517235] (-) TimerEvent: {}
[1.529574] (ur5_motion_planning) JobEnded: {'identifier': 'ur5_motion_planning', 'rc': 1}
[1.540968] (-) EventReactorShutdown: {}
